"release_group","MPR_Groupings","ExpansionStatus","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Proportion_of_group_raw_recoveries"
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Alaska Fisheries","missing",1,NA,NA,0.000342583076396026
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Alaska Fisheries","notmissing",176,528.36,0.333106215459157,0.0602946214457006
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","California Fisheries","notmissing",7,20.43,0.342633382280959,0.00239808153477218
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Canadian Fisheries","notmissing",192,635.91,0.301929518328065,0.065775950668037
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Columbia commercial/treaty","missing",2,NA,NA,0.000685166152792052
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Columbia commercial/treaty","notmissing",368,2104.56,0.174858402706504,0.126070572113738
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Columbia Estuary Sport","notmissing",1,1.99,0.50251256281407,0.000342583076396026
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Escapement","notmissing",1785,2134.14,0.836402485310242,0.611510791366906
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Oregon Fisheries","notmissing",101,222.74,0.453443476699291,0.0346008907159986
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","Terminal Sport","notmissing",109,721.99,0.150971620105542,0.0373415553271668
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","missing",1,NA,NA,0.000342583076396026
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","notmissing",148,319.46,0.463281788017279,0.0507022953066119
"WELLS HATCHERY2009COLUMBIA NEAR WELLS","WA Coastal Sport","notmissing",27,53.79,0.501952035694367,0.0092497430626927
"WELLS HATCHERY2009COLUMBIA NEAR WELLS",NA,"notmissing",1,1.05,0.952380952380952,0.000342583076396026
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Alaska Fisheries","missing",1,NA,NA,0.000435161009573542
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Alaska Fisheries","notmissing",197,709.94,0.277488238442685,0.0857267188859878
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","California Fisheries","notmissing",3,9.81,0.305810397553517,0.00130548302872063
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Canadian Fisheries","notmissing",141,498.1,0.283075687612929,0.0613577023498695
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Columbia commercial/treaty","notmissing",289,1370.21,0.210916574831595,0.125761531766754
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Columbia Estuary Sport","notmissing",1,5.32,0.18796992481203,0.000435161009573542
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Escapement","notmissing",1385,1757.53,0.788037757534722,0.602697998259356
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Oregon Fisheries","notmissing",76,168.49,0.45106534512434,0.0330722367275892
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Terminal Sport","missing",2,NA,NA,0.000870322019147084
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","Terminal Sport","notmissing",65,421.2,0.154320987654321,0.0282854656222802
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","notmissing",121,268.71,0.450299579472293,0.0526544821583986
"WELLS HATCHERY2010COLUMBIA NEAR WELLS","WA Coastal Sport","notmissing",17,36.86,0.461204557786218,0.00739773716275022
